"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::2:ff:fe00:15","ff02::6d","packetbb","222",""
"2","0.014197","fe80::2:ff:fe00:4","ff02::6d","packetbb","722",""
"3","0.060454","fe80::2:ff:fe00:a","ff02::6d","packetbb","652",""
"4","0.070509","10.0.0.11","224.0.0.109","packetbb","256",""
"5","0.070525","fe80::2:ff:fe00:b","ff02::6d","packetbb","539",""
"6","0.130160","fe80::2:ff:fe00:10","ff02::6d","packetbb","597",""
"7","0.130175","10.0.0.16","224.0.0.109","packetbb","283",""
"8","0.145994","10.0.0.17","224.0.0.109","packetbb","243",""
"9","0.146015","fe80::2:ff:fe00:11","ff02::6d","packetbb","547",""
"10","0.153040","fe80::2:ff:fe00:12","ff02::6d","packetbb","561",""
"11","0.153055","10.0.0.18","224.0.0.109","packetbb","239",""
"12","0.281382","10.0.0.4","224.0.0.109","packetbb","262",""
"13","0.281419","fe80::2:ff:fe00:4","ff02::6d","packetbb","676",""
"14","0.297643","10.0.0.6","224.0.0.109","packetbb","233",""
"15","0.297655","fe80::2:ff:fe00:6","ff02::6d","packetbb","535",""
"16","0.312744","fe80::2:ff:fe00:7","ff02::6d","packetbb","493",""
"17","0.312769","10.0.0.7","224.0.0.109","packetbb","260",""
"18","0.322892","10.0.0.8","224.0.0.109","packetbb","249",""
"19","0.323012","fe80::2:ff:fe00:8","ff02::6d","packetbb","539",""
"20","0.336162","fe80::2:ff:fe00:9","ff02::6d","packetbb","483",""
"21","0.336181","10.0.0.9","224.0.0.109","packetbb","242",""
"22","0.355950","10.0.0.10","224.0.0.109","packetbb","231",""
"23","0.371326","fe80::2:ff:fe00:c","ff02::6d","packetbb","513",""
"24","0.371344","10.0.0.12","224.0.0.109","packetbb","233",""
"25","0.383666","fe80::2:ff:fe00:15","ff02::6d","packetbb","517",""
"26","0.383919","10.0.0.21","224.0.0.109","packetbb","234",""
"27","0.463605","fe80::2:ff:fe00:13","ff02::6d","packetbb","527",""
"28","0.463623","10.0.0.19","224.0.0.109","packetbb","242",""
"29","0.467653","10.0.0.20","224.0.0.109","packetbb","263",""
"30","0.467675","fe80::2:ff:fe00:14","ff02::6d","packetbb","583",""
"31","1.389463","fe80::2:ff:fe00:1","ff02::6d","packetbb","523",""
"32","1.389480","10.0.0.1","224.0.0.109","packetbb","234",""
"33","1.403933","10.0.0.2","224.0.0.109","packetbb","228",""
"34","1.403950","fe80::2:ff:fe00:2","ff02::6d","packetbb","487",""
"35","1.436024","10.0.0.3","224.0.0.109","packetbb","242",""
"36","1.436051","fe80::2:ff:fe00:3","ff02::6d","packetbb","509",""
"37","1.786393","MS-NLB-PhysServer-02_09","Broadcast","ARP","42","Who has 10.0.0.21? Tell 10.0.0.9"
"38","1.786419","MS-NLB-PhysServer-02_15","MS-NLB-PhysServer-02_09","ARP","42","10.0.0.21 is at 02:02:00:00:00:15"
"39","2.063373","10.0.0.9","10.0.0.21","TCP","74","5000  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3464180676 TSecr=0 WS=128"
"40","2.063404","10.0.0.21","10.0.0.9","TCP","74","5000  >  5000 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=997916608 TSecr=3464180676 WS=128"
"41","2.318561","10.0.0.6","224.0.0.109","packetbb","245",""
"42","2.318578","fe80::2:ff:fe00:6","ff02::6d","packetbb","545",""
"43","2.380853","fe80::2:ff:fe00:9","ff02::6d","packetbb","513",""
"44","2.380864","10.0.0.9","224.0.0.109","packetbb","251",""
"45","2.384825","fe80::2:ff:fe00:c","ff02::6d","packetbb","587",""
"46","2.384854","10.0.0.12","224.0.0.109","packetbb","279",""
"47","2.436288","fe80::2:ff:fe00:10","ff02::6d","packetbb","631",""
"48","2.436309","10.0.0.16","224.0.0.109","packetbb","287",""
"49","2.450117","10.0.0.17","224.0.0.109","packetbb","260",""
"50","2.450137","fe80::2:ff:fe00:11","ff02::6d","packetbb","563",""
"51","2.459512","fe80::2:ff:fe00:12","ff02::6d","packetbb","557",""
"52","2.459530","10.0.0.18","224.0.0.109","packetbb","266",""
"53","2.470469","10.0.0.19","224.0.0.109","packetbb","265",""
"54","2.470491","fe80::2:ff:fe00:13","ff02::6d","packetbb","567",""
"55","2.482994","10.0.0.20","224.0.0.109","packetbb","295",""
"56","2.483009","fe80::2:ff:fe00:14","ff02::6d","packetbb","625",""
"57","2.485371","fe80::2:ff:fe00:15","ff02::6d","packetbb","503",""
"58","2.485626","10.0.0.21","224.0.0.109","packetbb","252",""
"59","2.577378","10.0.0.4","224.0.0.109","packetbb","264",""
"60","2.577395","fe80::2:ff:fe00:4","ff02::6d","packetbb","513",""
"61","2.610139","fe80::2:ff:fe00:5","ff02::6d","packetbb","543",""
"62","2.610152","10.0.0.5","224.0.0.109","packetbb","268",""
"63","2.635229","10.0.0.8","224.0.0.109","packetbb","257",""
"64","2.635266","fe80::2:ff:fe00:8","ff02::6d","packetbb","555",""
"65","2.650145","10.0.0.10","224.0.0.109","packetbb","239",""
"66","2.650164","fe80::2:ff:fe00:a","ff02::6d","packetbb","511",""
"67","2.670583","10.0.0.11","224.0.0.109","packetbb","249",""
"68","2.670607","fe80::2:ff:fe00:b","ff02::6d","packetbb","519",""
"69","3.053610","MS-NLB-PhysServer-02_13","Broadcast","ARP","42","Who has 10.0.0.22? Tell 10.0.0.19"
"70","3.079371","10.0.0.21","10.0.0.9","TCP","74","[TCP Retransmission] 5000  >  5000 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=997917624 TSecr=3464180676 WS=128"
"71","3.120361","fe80::2:ff:fe00:1","ff02::6d","packetbb","362",""
"72","3.137630","fe80::2:ff:fe00:2","ff02::6d","packetbb","332",""
"73","3.141310","fe80::2:ff:fe00:3","ff02::6d","packetbb","317",""
"74","3.294004","fe80::2:ff:fe00:15","ff02::6d","packetbb","629",""
"75","3.309540","fe80::2:ff:fe00:11","ff02::6d","packetbb","332",""
"76","3.350291","fe80::2:ff:fe00:14","ff02::6d","packetbb","332",""
"77","3.406332","fe80::2:ff:fe00:1","ff02::6d","packetbb","791",""
"78","3.431162","fe80::2:ff:fe00:2","ff02::6d","packetbb","753",""
"79","3.431175","10.0.0.2","224.0.0.109","packetbb","236",""
"80","3.446334","fe80::2:ff:fe00:4","ff02::6d","packetbb","332",""
"81","3.502826","10.0.0.9","10.0.0.21","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3464182299 TSecr=997917624"
"82","3.502861","10.0.0.9","10.0.0.21","RSL","1346","unknown 0 "
"83","3.502870","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=1281 Win=64128 Len=0 TSval=997918048 TSecr=3464182313"
"84","3.502876","fe80::2:ff:fe00:9","ff02::6d","packetbb","614",""
"85","3.517350","fe80::2:ff:fe00:a","ff02::6d","packetbb","629",""
"86","3.527395","fe80::2:ff:fe00:b","ff02::6d","packetbb","362",""
"87","3.556164","fe80::2:ff:fe00:c","ff02::6d","packetbb","332",""
"88","3.694543","10.0.0.1","224.0.0.109","packetbb","256",""
"89","3.725356","10.0.0.3","224.0.0.109","packetbb","255",""
"90","3.725377","fe80::2:ff:fe00:3","ff02::6d","packetbb","533",""
"91","3.793008","10.0.0.9","10.0.0.21","RSL","1514","ERROR INDication "
"92","3.793027","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=2729 Win=64128 Len=0 TSval=997918338 TSecr=3464182587"
"93","3.793040","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"94","3.793044","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=4177 Win=63232 Len=0 TSval=997918338 TSecr=3464182587"
"95","3.911987","fe80::2:ff:fe00:13","ff02::6d","packetbb","317",""
"96","4.020824","fe80::2:ff:fe00:4","ff02::6d","packetbb","222",""
"97","4.031835","fe80::2:ff:fe00:5","ff02::6d","packetbb","202",""
"98","4.054682","fe80::2:ff:fe00:7","ff02::6d","packetbb","202",""
"99","4.079258","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"100","4.079274","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=5625 Win=64128 Len=0 TSval=997918624 TSecr=3464182879"
"101","4.079288","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"102","4.079290","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=7073 Win=63232 Len=0 TSval=997918624 TSecr=3464182879"
"103","4.079293","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"104","4.079296","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=8521 Win=62080 Len=0 TSval=997918624 TSecr=3464182879"
"105","4.079299","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"106","4.079302","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=9969 Win=60928 Len=0 TSval=997918624 TSecr=3464182879"
"107","4.079305","fe80::2:ff:fe00:9","ff02::6d","packetbb","337",""
"108","4.098120","fe80::2:ff:fe00:a","ff02::6d","packetbb","222",""
