"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"2","0.101853","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"3","0.200491","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"4","0.298897","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"5","0.321460","fe80::2:ff:fe00:e","ff02::6d","packetbb","371",""
"6","0.321475","10.0.0.14","224.0.0.109","packetbb","189",""
"7","0.363977","10.0.0.10","224.0.0.109","packetbb","196",""
"8","0.363998","fe80::2:ff:fe00:a","ff02::6d","packetbb","383",""
"9","0.399440","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"10","0.499111","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"11","0.539046","10.0.0.12","224.0.0.109","packetbb","197",""
"12","0.539059","fe80::2:ff:fe00:c","ff02::6d","packetbb","391",""
"13","0.552699","fe80::2:ff:fe00:f","ff02::6d","packetbb","381",""
"14","0.552790","10.0.0.15","224.0.0.109","packetbb","192",""
"15","0.562652","fe80::2:ff:fe00:3","ff02::6d","packetbb","379",""
"16","0.562672","10.0.0.3","224.0.0.109","packetbb","191",""
"17","0.570107","10.0.0.5","224.0.0.109","packetbb","194",""
"18","0.570120","fe80::2:ff:fe00:5","ff02::6d","packetbb","381",""
"19","0.573094","fe80::2:ff:fe00:6","ff02::6d","packetbb","369",""
"20","0.573119","10.0.0.6","224.0.0.109","packetbb","186",""
"21","0.579943","10.0.0.7","224.0.0.109","packetbb","188",""
"22","0.580674","fe80::2:ff:fe00:7","ff02::6d","packetbb","369",""
"23","0.598893","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"24","0.615617","10.0.0.2","224.0.0.109","packetbb","188",""
"25","0.615630","fe80::2:ff:fe00:2","ff02::6d","packetbb","379",""
"26","0.699629","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"27","0.798856","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"28","0.900139","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"29","0.998962","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"30","1.099858","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"31","1.229304","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"32","1.299943","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"33","1.333462","fe80::2:ff:fe00:b","ff02::6d","packetbb","371",""
"34","1.333477","10.0.0.11","224.0.0.109","packetbb","187",""
"35","1.399465","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
"36","1.501340","10.0.0.7","10.0.0.13","TAPA","980","Discover - Unknown (3)"
